2101103,"Axixá",14743
2101202,"Bacabal",97946
2101251,"Bacabeira",15115
2101301,"Bacuri",16500
2101350,"Bacurituba",5597
2101400,"Balsas",81497
2101509,"Barão de Grajaú",17069
2101608,"Barra do Corda",81027
2101707,"Barreirinhas",49398
2101772,"Bela Vista do Maranhão",8850
2101731,"Belágua",5892
2101806,"Benedito Leite",5545
2101905,"Bequimão",21356
2101939,"Bernardo do Mearim",6160
2101970,"Boa Vista do Gurupi",7643
2102002,"Bom Jardim",38813
2102036,"Bom Jesus das Selvas",24661
2102077,"Bom Lugar",13222
2102101,"Brejo",32018
2102150,"Brejo de Areia",5896
2102200,"Buriti",26029
2102309,"Buriti Bravo",22941
2102325,"Buriticupu",63466
2102358,"Buritirana",15027
2102374,"Cachoeira Grande",9116
2102408,"Cajapió",10279
2102507,"Cajari",13203
2102556,"Campestre do Maranhão",12615
2102606,"Cândido Mendes",19409
2102705,"Cantanhede",19396
2102754,"Capinzal do Norte",10683
2102804,"Carolina",25159
2102903,"Carutapera",20905
2103000,"Caxias",147416
2103109,"Cedral",10127
2103125,"Central do Maranhão",9062
2103158,"Centro do Guilherme",7318
2103174,"Centro Novo do Maranhão",15577
2103208,"Chapadinha",69734
2103257,"Cidelândia",12778
2103307,"Codó",113768
2103406,"Coelho Neto",45343
2103505,"Colinas",36725
2103554,"Conceição do Lago-Açu",14535
2103604,"Coroatá",62442
2103703,"Cururupu",35009
2103752,"Davinópolis",12118
2103802,"Dom Pedro",22092
2103901,"Duque Bacelar",10704
2104008,"Esperantinópolis",19055
2104057,"Estreito",27328
2104073,"Feira Nova do Maranhão",7872
2104081,"Fernando Falcão",8404
2104099,"Formosa da Serra Negra",17432
2104107,"Fortaleza dos Nogueiras",11919
2104206,"Fortuna",14903
2104305,"Godofredo Viana",10823
2104404,"Gonçalves Dias",16914
2104503,"Governador Archer",10224
2104552,"Governador Edison Lobão",14557
2104602,"Governador Eugênio Barros",16341
2104628,"Governador Luiz Rocha",7091
2104651,"Governador Newton Bello",11666
2104677,"Governador Nunes Freire",24671
2104701,"Graça Aranha",6439
2104800,"Grajaú",55833
2104909,"Guimarães",12741
2105005,"Humberto de Campos",25037
2105104,"Icatu",25198
2105153,"Igarapé do Meio",12073
2105203,"Igarapé Grande",11003
2105302,"Imperatriz",236311
2105351,"Itaipava do Grajaú",13636
2105401,"Itapecuru Mirim",56241
2105427,"Itinga do Maranhão",25866
2105450,"Jatobá",8557
2105476,"Jenipapo dos Vieiras",15270
2105500,"João Lisboa",20482
2105609,"Joselândia",16054
2105658,"Junco do Maranhão",4101
2105708,"Lago da Pedra",43947
2105807,"Lago do Junco",9890
2105948,"Lago dos Rodrigues",7993
2105906,"Lago Verde",15014
2105922,"Lagoa do Mato",10536
2105963,"Lagoa Grande do Maranhão",9287
2105989,"Lajeado Novo",6829
2106003,"Lima Campos",11706
2106102,"Loreto",10646
2106201,"Luís Domingues",6884
2106300,"Magalhães de Almeida",14653
2106326,"Maracaçumé",18098
2106359,"Marajá do Sena",6979
2106375,"Maranhãozinho",12299
2106409,"Mata Roma",14252
2106508,"Matinha",21037
2106607,"Matões",29134
2106631,"Matões do Norte",10944
2106672,"Milagres do Maranhão",7838
2106706,"Mirador",19999
2106755,"Miranda do Norte",18288
2106805,"Mirinzal",14201
2106904,"Monção",28386
2107001,"Montes Altos",9055
2107100,"Morros",17620
2107209,"Nina Rodrigues",10326
2107258,"Nova Colinas",4987
2107308,"Nova Iorque",5041
2107357,"Nova Olinda do Maranhão",17646
2107407,"Olho d'Água das Cunhãs",17868
2107456,"Olinda Nova do Maranhão",12456
2107506,"Paço do Lumiar",101452
2107605,"Palmeirândia",18646
2107704,"Paraibano",20048
2107803,"Parnarama",35972
2107902,"Passagem Franca",17625
2108009,"Pastos Bons",18055
2108058,"Paulino Neves",13195
2108108,"Paulo Ramos",16534
2108207,"Pedreiras",39049
2108256,"Pedro do Rosário",22417
2108306,"Penalva",34505
2108405,"Peri Mirim",12556
2108454,"Peritoró",19601
2108504,"Pindaré-Mirim",31879
2108603,"Pinheiro",76391
2108702,"Pio XII",22410
2108801,"Pirapemas",15477
2108900,"Poção de Pedras",16184
2109007,"Porto Franco",19271
2109056,"Porto Rico do Maranhão",7110
2109106,"Presidente Dutra",41173
2109205,"Presidente Juscelino",12094
2109239,"Presidente Médici",6252
2109270,"Presidente Sarney",16095
2109304,"Presidente Vargas",10096
2109403,"Primeira Cruz",12366
2109452,"Raposa",25042
2109502,"Riachão",21626
2109551,"Ribamar Fiquene",7391
2109601,"Rosário",39103
2109700,"Sambaíba",5971
2109759,"Santa Filomena do Maranhão",5703
2109809,"Santa Helena",35070
2109908,"Santa Inês",84582
2110005,"Santa Luzia",71314
2110039,"Santa Luzia do Paruá",20194
2110104,"Santa Quitéria do Maranhão",29215
2110203,"Santa Rita",31940
2110237,"Santana do Maranhão",10890
2110278,"Santo Amaro do Maranhão",11509
2110302,"Santo Antônio dos Lopes",14637
2110401,"São Benedito do Rio Preto",17704
2110500,"São Bento",38645
2110609,"São Bernardo",26273
2110658,"São Domingos do Azeitão",7168
2110708,"São Domingos do Maranhão",33491
2110807,"São Félix de Balsas",4511
2110856,"São Francisco do Brejão",8702
2110906,"São Francisco do Maranhão",14632
2111029,"São João do Carú",12613
2111052,"São João do Paraíso",11611
2111078,"São João do Soter",17108
2111102,"São João dos Patos",24267
2111003,"São João Batista",18617
2111201,"São José de Ribamar",135821
2111250,"São José dos Basílios",7490
2111300,"São Luís",986826
2111409,"São Luís Gonzaga do Maranhão",20163
2111508,"São Mateus do Maranhão",39210
2111532,"São Pedro da Água Branca",11439
2111573,"São Pedro dos Crentes",4136
2111607,"São Raimundo das Mangabeiras",16447
2111631,"São Raimundo do Doca Bezerra",4590
2111672,"São Roberto",5145
2111706,"São Vicente Ferrer",20288
2111722,"Satubinha",8651
2111748,"Senador Alexandre Costa",9343
2111763,"Senador La Rocque",19328
2111789,"Serrano do Maranhão",10911
2111805,"Sítio Novo",16009
2111904,"Sucupira do Norte",10529
2111953,"Sucupira do Riachão",4818
2112001,"Tasso Fragoso",6850
2112100,"Timbiras",26884
2112209,"Timon",148804
2112233,"Trizidela do Vale",18867
2112274,"Tufilândia",5677
2112308,"Tuntum",39041
2112407,"Turiaçu",33456
2112456,"Turilândia",20758
2112506,"Tutóia",47733
2112605,"Urbano Santos",22459
2112704,"Vargem Grande",44648
2112803,"Viana",48907
2112852,"Vila Nova dos Martírios",8961
2112902,"Vitória do Mearim",31851
2113009,"Vitorino Freire",31107
2114007,"Zé Doca",46290
2200053,"Acauã",6437
2200103,"Agricolândia",5121
2200202,"Água Branca",16345
2200251,"Alagoinha do Piauí",7662
2200277,"Alegrete do Piauí",4610
2200301,"Alto Longá",14004
2200400,"Altos",39430
2200459,"Alvorada do Gurguéia",5120
2200509,"Amarante",17813
2200608,"Angical do Piauí",6798
2200707,"Anísio de Abreu",8434
2200806,"Antônio Almeida",3231
2200905,"Aroazes",6025
2200954,"Aroeiras do Itaim",2731
2201002,"Arraial",5145
2201051,"Assunção do Piauí",8243
