2300507;"ALCÂNTARAS";"CE";"Nordeste";" ";-3,58698;-40,54464
2500536;"ALCANTIL";"PB";"Nordeste";" ";-7,74148;-36,06060
5000252;"ALCINÓPOLIS";"MS";"Centro-Oeste";" ";-18,32503;-53,70809
2900801;"ALCOBAÇA";"BA";"Nordeste";" ";-17,51893;-39,19421
2100303;"ALDEIAS ALTAS";"MA";"Nordeste";" ";-4,63078;-43,46874
4300307;"ALECRIM";"RS";"Sul";" ";-27,66107;-54,76710
3200201;"ALEGRE";"ES";"Sudeste";" ";-20,76327;-41,53649
4300406;"ALEGRETE";"RS";"Sul";" ";-29,78204;-55,79587
2200277;"ALEGRETE DO PIAUÍ";"PI";"Nordeste";" ";-7,24535;-40,85786
4300455;"ALEGRIA";"RS";"Sul";" ";-27,83730;-54,05737
3101508;"ALÉM PARAÍBA";"MG";"Sudeste";" ";-21,87680;-42,69595
1500404;"ALENQUER";"PA";"Norte";" ";-1,95140;-54,74086
2400505;"ALEXANDRIA";"RN";"Nordeste";" ";-6,41714;-38,01929
5200308;"ALEXÂNIA";"GO";"Centro-Oeste";" ";-16,08617;-48,50964
3101607;"ALFENAS";"MG";"Sudeste";" ";-21,42818;-45,94892
3200300;"ALFREDO CHAVES";"ES";"Sudeste";" ";-20,63035;-40,76005
3500808;"ALFREDO MARCONDES";"SP";"Sudeste";" ";-21,95274;-51,41294
3101631;"ALFREDO VASCONCELOS";"MG";"Sudeste";" ";-21,13942;-43,77389
4200705;"ALFREDO WAGNER";"SC";"Sul";" ";-27,70540;-49,34381
2500577;"ALGODÃO DE JANDAÍRA";"PB";"Nordeste";" ";-6,90469;-36,00609
2500601;"ALHANDRA";"PB";"Nordeste";" ";-7,43300;-34,91199
2600708;"ALIANÇA";"PE";"Nordeste";" ";-7,60473;-35,22850
1700350;"ALIANÇA DO TOCANTINS";"TO";"Norte";" ";-11,30374;-48,94124
2900900;"ALMADINA";"BA";"Nordeste";" ";-14,70605;-39,63590
1700400;"ALMAS";"TO";"Norte";" ";-11,57452;-47,17417
1500503;"ALMEIRIM";"PA";"Norte";" ";-1,52734;-52,57684
3101706;"ALMENARA";"MG";"Sudeste";" ";-16,18062;-40,69765
